State, rank9, STATE, 0.000585, 0.000586, 0.000001, 0.000000, MPI_Comm_size
State, rank9, STATE, 0.000586, 0.000586, 0.000000, 0.000000, MPI_Comm_rank
State, rank9, STATE, 0.000590, 0.012558, 0.011968, 0.000000, MPI_Bcast
State, rank9, STATE, 0.012600, 3.963908, 3.951308, 0.000000, MPI_Scatter
State, rank9, STATE, 3.963909, 24.735247, 20.771338, 0.000000, MPI_Scatter
State, rank9, STATE, 27.423375, 46.936455, 19.513080, 0.000000, MPI_Gather
State, rank9, STATE, 46.936472, 58.978403, 12.041931, 0.000000, MPI_Finalize
State, rank8, STATE, 0.002857, 0.002858, 0.000001, 0.000000, MPI_Comm_size
State, rank8, STATE, 0.002858, 0.002858, 0.000000, 0.000000, MPI_Comm_rank
State, rank8, STATE, 0.002864, 0.013047, 0.010183, 0.000000, MPI_Bcast
State, rank8, STATE, 0.013094, 3.873812, 3.860718, 0.000000, MPI_Scatter
State, rank8, STATE, 3.873813, 24.645625, 20.771813, 0.000000, MPI_Scatter
State, rank8, STATE, 27.403189, 46.919746, 19.516557, 0.000000, MPI_Gather
State, rank8, STATE, 46.919773, 58.977220, 12.057447, 0.000000, MPI_Finalize
State, rank7, STATE, 0.004290, 0.004292, 0.000001, 0.000000, MPI_Comm_size
State, rank7, STATE, 0.004292, 0.004292, 0.000000, 0.000000, MPI_Comm_rank
State, rank7, STATE, 0.004297, 0.015202, 0.010905, 0.000000, MPI_Bcast
State, rank7, STATE, 0.015246, 3.841834, 3.826587, 0.000000, MPI_Scatter
State, rank7, STATE, 3.841835, 24.613656, 20.771821, 0.000000, MPI_Scatter
State, rank7, STATE, 27.216550, 46.904293, 19.687743, 0.000000, MPI_Gather
State, rank7, STATE, 46.904303, 58.977159, 12.072856, 0.000000, MPI_Finalize
State, rank63, STATE, 0.005030, 0.005030, 0.000001, 0.000000, MPI_Comm_size
State, rank63, STATE, 0.005031, 0.005031, 0.000000, 0.000000, MPI_Comm_rank
State, rank63, STATE, 0.005035, 0.017034, 0.012000, 0.000000, MPI_Bcast
State, rank63, STATE, 0.017077, 24.118202, 24.101125, 0.000000, MPI_Scatter
State, rank63, STATE, 24.118203, 44.787619, 20.669416, 0.000000, MPI_Scatter
State, rank63, STATE, 45.951898, 58.933602, 12.981704, 0.000000, MPI_Gather
State, rank63, STATE, 58.933613, 58.978433, 0.044820, 0.000000, MPI_Finalize
State, rank62, STATE, 0.001779, 0.001780, 0.000001, 0.000000, MPI_Comm_size
State, rank62, STATE, 0.001780, 0.001781, 0.000000, 0.000000, MPI_Comm_rank
State, rank62, STATE, 0.001785, 0.013760, 0.011975, 0.000000, MPI_Bcast
State, rank62, STATE, 0.013803, 23.708748, 23.694945, 0.000000, MPI_Scatter
State, rank62, STATE, 23.708749, 44.378996, 20.670247, 0.000000, MPI_Scatter
State, rank62, STATE, 45.807817, 58.828736, 13.020920, 0.000000, MPI_Gather
State, rank62, STATE, 58.828753, 58.978934, 0.150180, 0.000000, MPI_Finalize
State, rank61, STATE, 0.003760, 0.003761, 0.000001, 0.000000, MPI_Comm_size
State, rank61, STATE, 0.003761, 0.003762, 0.000000, 0.000000, MPI_Comm_rank
State, rank61, STATE, 0.003765, 0.015747, 0.011982, 0.000000, MPI_Bcast
State, rank61, STATE, 0.015792, 23.295060, 23.279268, 0.000000, MPI_Scatter
State, rank61, STATE, 23.295062, 43.964343, 20.669282, 0.000000, MPI_Scatter
State, rank61, STATE, 45.618377, 57.191889, 11.573511, 0.000000, MPI_Gather
State, rank61, STATE, 57.191899, 58.978441, 1.786542, 0.000000, MPI_Finalize
State, rank60, STATE, 0.007347, 0.007348, 0.000001, 0.000000, MPI_Comm_size
State, rank60, STATE, 0.007348, 0.007348, 0.000000, 0.000000, MPI_Comm_rank
State, rank60, STATE, 0.007353, 0.007857, 0.000505, 0.000000, MPI_Bcast
State, rank60, STATE, 0.007901, 22.885727, 22.877826, 0.000000, MPI_Scatter
State, rank60, STATE, 22.885728, 43.555881, 20.670153, 0.000000, MPI_Scatter
State, rank60, STATE, 45.506064, 58.661721, 13.155657, 0.000000, MPI_Gather
State, rank60, STATE, 58.661739, 58.978441, 0.316702, 0.000000, MPI_Finalize
State, rank6, STATE, 0.001992, 0.001993, 0.000001, 0.000000, MPI_Comm_size
State, rank6, STATE, 0.001993, 0.001993, 0.000000, 0.000000, MPI_Comm_rank
State, rank6, STATE, 0.001997, 0.006209, 0.004212, 0.000000, MPI_Bcast
State, rank6, STATE, 0.006259, 3.753502, 3.747243, 0.000000, MPI_Scatter
State, rank6, STATE, 3.753503, 24.525132, 20.771630, 0.000000, MPI_Scatter
State, rank6, STATE, 27.222153, 46.888448, 19.666295, 0.000000, MPI_Gather
State, rank6, STATE, 46.888475, 58.977420, 12.088945, 0.000000, MPI_Finalize
State, rank59, STATE, 0.000618, 0.000618, 0.000001, 0.000000, MPI_Comm_size
State, rank59, STATE, 0.000619, 0.000619, 0.000000, 0.000000, MPI_Comm_rank
State, rank59, STATE, 0.000623, 0.012773, 0.012150, 0.000000, MPI_Bcast
State, rank59, STATE, 0.012812, 22.476310, 22.463497, 0.000000, MPI_Scatter
State, rank59, STATE, 22.476311, 43.142166, 20.665856, 0.000000, MPI_Scatter
State, rank59, STATE, 45.327793, 58.911271, 13.583478, 0.000000, MPI_Gather
State, rank59, STATE, 58.911281, 58.978441, 0.067161, 0.000000, MPI_Finalize
State, rank58, STATE, 0.003271, 0.003271, 0.000001, 0.000000, MPI_Comm_size
State, rank58, STATE, 0.003271, 0.003272, 0.000000, 0.000000, MPI_Comm_rank
State, rank58, STATE, 0.003276, 0.015443, 0.012167, 0.000000, MPI_Bcast
State, rank58, STATE, 0.015481, 22.028817, 22.013336, 0.000000, MPI_Scatter
State, rank58, STATE, 22.028818, 42.733630, 20.704813, 0.000000, MPI_Scatter
State, rank58, STATE, 45.312994, 58.463881, 13.150887, 0.000000, MPI_Gather
State, rank58, STATE, 58.463897, 58.978965, 0.515068, 0.000000, MPI_Finalize
State, rank57, STATE, 0.005503, 0.005505, 0.000001, 0.000000, MPI_Comm_size
State, rank57, STATE, 0.005505, 0.005505, 0.000000, 0.000000, MPI_Comm_rank
State, rank57, STATE, 0.005508, 0.017701, 0.012192, 0.000000, MPI_Bcast
State, rank57, STATE, 0.017741, 21.619308, 21.601566, 0.000000, MPI_Scatter
State, rank57, STATE, 21.619308, 42.325036, 20.705727, 0.000000, MPI_Scatter
State, rank57, STATE, 45.229504, 56.957507, 11.728003, 0.000000, MPI_Gather
State, rank57, STATE, 56.957529, 58.978447, 2.020918, 0.000000, MPI_Finalize
State, rank56, STATE, 0.002191, 0.002192, 0.000001, 0.000000, MPI_Comm_size
State, rank56, STATE, 0.002192, 0.002193, 0.000000, 0.000000, MPI_Comm_rank
State, rank56, STATE, 0.002196, 0.014390, 0.012194, 0.000000, MPI_Bcast
State, rank56, STATE, 0.014434, 21.208710, 21.194277, 0.000000, MPI_Scatter
State, rank56, STATE, 21.208711, 41.912955, 20.704243, 0.000000, MPI_Scatter
State, rank56, STATE, 45.063833, 58.814827, 13.750994, 0.000000, MPI_Gather
State, rank56, STATE, 58.814845, 58.978888, 0.164044, 0.000000, MPI_Finalize
State, rank55, STATE, 0.004625, 0.004625, 0.000001, 0.000000, MPI_Comm_size
State, rank55, STATE, 0.004626, 0.004626, 0.000000, 0.000000, MPI_Comm_rank
State, rank55, STATE, 0.004630, 0.017005, 0.012375, 0.000000, MPI_Bcast
State, rank55, STATE, 0.017047, 20.799288, 20.782241, 0.000000, MPI_Scatter
State, rank55, STATE, 20.799289, 41.504241, 20.704952, 0.000000, MPI_Scatter
State, rank55, STATE, 44.764547, 58.946653, 14.182106, 0.000000, MPI_Gather
State, rank55, STATE, 58.946671, 58.978445, 0.031774, 0.000000, MPI_Finalize
State, rank54, STATE, 0.001274, 0.001275, 0.000001, 0.000000, MPI_Comm_size
State, rank54, STATE, 0.001275, 0.001275, 0.000000, 0.000000, MPI_Comm_rank
State, rank54, STATE, 0.001282, 0.013623, 0.012342, 0.000000, MPI_Bcast
State, rank54, STATE, 0.013666, 20.377960, 20.364295, 0.000000, MPI_Scatter
State, rank54, STATE, 20.377961, 41.095793, 20.717832, 0.000000, MPI_Scatter
State, rank54, STATE, 44.166578, 58.491056, 14.324478, 0.000000, MPI_Gather
State, rank54, STATE, 58.491074, 58.978405, 0.487331, 0.000000, MPI_Finalize
State, rank53, STATE, 0.006415, 0.006416, 0.000001, 0.000000, MPI_Comm_size
State, rank53, STATE, 0.006416, 0.006416, 0.000000, 0.000000, MPI_Comm_rank
State, rank53, STATE, 0.006420, 0.006948, 0.000528, 0.000000, MPI_Bcast
State, rank53, STATE, 0.006999, 19.968529, 19.961530, 0.000000, MPI_Scatter
State, rank53, STATE, 19.968530, 40.675385, 20.706855, 0.000000, MPI_Scatter
State, rank53, STATE, 43.584397, 58.766294, 15.181898, 0.000000, MPI_Gather
State, rank53, STATE, 58.766312, 58.978454, 0.212143, 0.000000, MPI_Finalize
State, rank52, STATE, 0.004183, 0.004184, 0.000001, 0.000000, MPI_Comm_size
State, rank52, STATE, 0.004184, 0.004184, 0.000000, 0.000000, MPI_Comm_rank
State, rank52, STATE, 0.004188, 0.004644, 0.000456, 0.000000, MPI_Bcast
State, rank52, STATE, 0.004687, 19.550922, 19.546236, 0.000000, MPI_Scatter
State, rank52, STATE, 19.550923, 40.266788, 20.715865, 0.000000, MPI_Scatter
State, rank52, STATE, 43.436854, 58.642610, 15.205756, 0.000000, MPI_Gather
State, rank52, STATE, 58.642628, 58.978889, 0.336261, 0.000000, MPI_Finalize
State, rank51, STATE, 0.005960, 0.005960, 0.000001, 0.000000, MPI_Comm_size
State, rank51, STATE, 0.005961, 0.005961, 0.000000, 0.000000, MPI_Comm_rank
State, rank51, STATE, 0.005965, 0.018618, 0.012653, 0.000000, MPI_Bcast
State, rank51, STATE, 0.018661, 19.136700, 19.118039, 0.000000, MPI_Scatter
State, rank51, STATE, 19.136701, 39.858352, 20.721651, 0.000000, MPI_Scatter
State, rank51, STATE, 43.031415, 58.578144, 15.546729, 0.000000, MPI_Gather
State, rank51, STATE, 58.578162, 58.978454, 0.400291, 0.000000, MPI_Finalize
State, rank50, STATE, 0.006895, 0.006896, 0.000002, 0.000000, MPI_Comm_size
State, rank50, STATE, 0.006896, 0.006897, 0.000000, 0.000000, MPI_Comm_rank
State, rank50, STATE, 0.006902, 0.019535, 0.012633, 0.000000, MPI_Bcast
State, rank50, STATE, 0.019583, 18.727135, 18.707553, 0.000000, MPI_Scatter
State, rank50, STATE, 18.727137, 39.449734, 20.722598, 0.000000, MPI_Scatter
State, rank50, STATE, 42.628786, 58.448135, 15.819349, 0.000000, MPI_Gather
State, rank50, STATE, 58.448153, 58.978456, 0.530303, 0.000000, MPI_Finalize
State, rank5, STATE, 0.003508, 0.003510, 0.000001, 0.000000, MPI_Comm_size
State, rank5, STATE, 0.003510, 0.003510, 0.000000, 0.000000, MPI_Comm_rank
State, rank5, STATE, 0.003514, 0.015617, 0.012103, 0.000000, MPI_Bcast
State, rank5, STATE, 0.015661, 3.721560, 3.705899, 0.000000, MPI_Scatter
State, rank5, STATE, 3.721561, 24.493238, 20.771677, 0.000000, MPI_Scatter
State, rank5, STATE, 27.193738, 46.872849, 19.679111, 0.000000, MPI_Gather
State, rank5, STATE, 46.872865, 58.977153, 12.104288, 0.000000, MPI_Finalize
State, rank49, STATE, 0.000001, 0.000003, 0.000002, 0.000000, MPI_Comm_size
State, rank49, STATE, 0.000003, 0.000003, 0.000000, 0.000000, MPI_Comm_rank
State, rank49, STATE, 0.000009, 0.012634, 0.012624, 0.000000, MPI_Bcast
State, rank49, STATE, 0.012680, 18.317735, 18.305055, 0.000000, MPI_Scatter
State, rank49, STATE, 18.317736, 39.041023, 20.723287, 0.000000, MPI_Scatter
State, rank49, STATE, 42.293306, 58.130241, 15.836936, 0.000000, MPI_Gather
State, rank49, STATE, 58.130267, 58.978427, 0.848161, 0.000000, MPI_Finalize
State, rank48, STATE, 0.002788, 0.002789, 0.000001, 0.000000, MPI_Comm_size
State, rank48, STATE, 0.002789, 0.002789, 0.000000, 0.000000, MPI_Comm_rank
State, rank48, STATE, 0.002793, 0.015387, 0.012594, 0.000000, MPI_Bcast
State, rank48, STATE, 0.015427, 17.908224, 17.892798, 0.000000, MPI_Scatter
State, rank48, STATE, 17.908225, 38.632418, 20.724193, 0.000000, MPI_Scatter
State, rank48, STATE, 41.944326, 58.186790, 16.242465, 0.000000, MPI_Gather
State, rank48, STATE, 58.186813, 58.978461, 0.791648, 0.000000, MPI_Finalize
State, rank47, STATE, 0.003268, 0.003269, 0.000001, 0.000000, MPI_Comm_size
State, rank47, STATE, 0.003269, 0.003269, 0.000000, 0.000000, MPI_Comm_rank
State, rank47, STATE, 0.003274, 0.015255, 0.011982, 0.000000, MPI_Bcast
State, rank47, STATE, 0.015300, 17.499617, 17.484317, 0.000000, MPI_Scatter
State, rank47, STATE, 17.499618, 38.224804, 20.725186, 0.000000, MPI_Scatter
State, rank47, STATE, 41.263684, 58.721435, 17.457751, 0.000000, MPI_Gather
State, rank47, STATE, 58.721452, 58.979091, 0.257639, 0.000000, MPI_Finalize
State, rank46, STATE, 0.006570, 0.006571, 0.000001, 0.000000, MPI_Comm_size
State, rank46, STATE, 0.006571, 0.006571, 0.000000, 0.000000, MPI_Comm_rank
State, rank46, STATE, 0.006576, 0.007093, 0.000518, 0.000000, MPI_Bcast
State, rank46, STATE, 0.007138, 17.077816, 17.070678, 0.000000, MPI_Scatter
State, rank46, STATE, 17.077817, 37.816062, 20.738245, 0.000000, MPI_Scatter
State, rank46, STATE, 40.637365, 58.824513, 18.187148, 0.000000, MPI_Gather
State, rank46, STATE, 58.824533, 58.979488, 0.154956, 0.000000, MPI_Finalize
State, rank45, STATE, 0.007912, 0.007913, 0.000001, 0.000000, MPI_Comm_size
State, rank45, STATE, 0.007913, 0.007914, 0.000000, 0.000000, MPI_Comm_rank
State, rank45, STATE, 0.007917, 0.008433, 0.000516, 0.000000, MPI_Bcast
State, rank45, STATE, 0.008474, 16.668398, 16.659924, 0.000000, MPI_Scatter
State, rank45, STATE, 16.668399, 37.407667, 20.739268, 0.000000, MPI_Scatter
State, rank45, STATE, 40.261582, 57.447504, 17.185921, 0.000000, MPI_Gather
State, rank45, STATE, 57.447528, 58.979138, 1.531610, 0.000000, MPI_Finalize
State, rank44, STATE, 0.004756, 0.004757, 0.000001, 0.000000, MPI_Comm_size
State, rank44, STATE, 0.004757, 0.004757, 0.000000, 0.000000, MPI_Comm_rank
State, rank44, STATE, 0.004761, 0.005255, 0.000494, 0.000000, MPI_Bcast
State, rank44, STATE, 0.005291, 16.251197, 16.245907, 0.000000, MPI_Scatter
State, rank44, STATE, 16.251198, 36.999069, 20.747871, 0.000000, MPI_Scatter
State, rank44, STATE, 40.407996, 58.270983, 17.862987, 0.000000, MPI_Gather
State, rank44, STATE, 58.271001, 58.979031, 0.708030, 0.000000, MPI_Finalize
State, rank43, STATE, 0.005188, 0.005189, 0.000001, 0.000000, MPI_Comm_size
State, rank43, STATE, 0.005189, 0.005190, 0.000000, 0.000000, MPI_Comm_rank
State, rank43, STATE, 0.005194, 0.005690, 0.000495, 0.000000, MPI_Bcast
State, rank43, STATE, 0.005741, 15.836941, 15.831200, 0.000000, MPI_Scatter
State, rank43, STATE, 15.836941, 36.587699, 20.750757, 0.000000, MPI_Scatter
State, rank43, STATE, 39.634141, 57.808176, 18.174035, 0.000000, MPI_Gather
State, rank43, STATE, 57.808195, 58.979077, 1.170882, 0.000000, MPI_Finalize
State, rank42, STATE, 0.000831, 0.000832, 0.000001, 0.000000, MPI_Comm_size
State, rank42, STATE, 0.000832, 0.000833, 0.000000, 0.000000, MPI_Comm_rank
State, rank42, STATE, 0.000839, 0.012884, 0.012045, 0.000000, MPI_Bcast
State, rank42, STATE, 0.012923, 15.425143, 15.412220, 0.000000, MPI_Scatter
State, rank42, STATE, 15.425146, 36.179110, 20.753964, 0.000000, MPI_Scatter
State, rank42, STATE, 39.180913, 57.503495, 18.322582, 0.000000, MPI_Gather
State, rank42, STATE, 57.503514, 58.979116, 1.475602, 0.000000, MPI_Finalize
State, rank41, STATE, 0.005625, 0.005626, 0.000001, 0.000000, MPI_Comm_size
State, rank41, STATE, 0.005626, 0.005627, 0.000000, 0.000000, MPI_Comm_rank
State, rank41, STATE, 0.005631, 0.006150, 0.000518, 0.000000, MPI_Bcast
State, rank41, STATE, 0.006193, 15.015709, 15.009516, 0.000000, MPI_Scatter
State, rank41, STATE, 15.015710, 35.770384, 20.754673, 0.000000, MPI_Scatter
State, rank41, STATE, 38.581116, 58.971686, 20.390569, 0.000000, MPI_Gather
State, rank41, STATE, 58.971704, 58.979598, 0.007894, 0.000000, MPI_Finalize
State, rank40, STATE, 0.001406, 0.001406, 0.000001, 0.000000, MPI_Comm_size
State, rank40, STATE, 0.001407, 0.001407, 0.000000, 0.000000, MPI_Comm_rank
State, rank40, STATE, 0.001410, 0.013438, 0.012028, 0.000000, MPI_Bcast
State, rank40, STATE, 0.013477, 14.606277, 14.592801, 0.000000, MPI_Scatter
State, rank40, STATE, 14.606279, 35.355912, 20.749633, 0.000000, MPI_Scatter
State, rank40, STATE, 38.266923, 57.581108, 19.314185, 0.000000, MPI_Gather
State, rank40, STATE, 57.581125, 58.979565, 1.398440, 0.000000, MPI_Finalize
State, rank4, STATE, 0.000927, 0.000929, 0.000002, 0.000000, MPI_Comm_size
State, rank4, STATE, 0.000929, 0.000929, 0.000000, 0.000000, MPI_Comm_rank
State, rank4, STATE, 0.000935, 0.004364, 0.003430, 0.000000, MPI_Bcast
State, rank4, STATE, 0.004407, 3.632799, 3.628392, 0.000000, MPI_Scatter
State, rank4, STATE, 3.632799, 24.404782, 20.771982, 0.000000, MPI_Scatter
State, rank4, STATE, 26.889493, 46.855214, 19.965721, 0.000000, MPI_Gather
State, rank4, STATE, 46.855239, 58.977217, 12.121978, 0.000000, MPI_Finalize
State, rank39, STATE, 0.002125, 0.002127, 0.000002, 0.000000, MPI_Comm_size
State, rank39, STATE, 0.002127, 0.002127, 0.000000, 0.000000, MPI_Comm_rank
State, rank39, STATE, 0.002133, 0.014133, 0.012000, 0.000000, MPI_Bcast
State, rank39, STATE, 0.014173, 14.185798, 14.171625, 0.000000, MPI_Scatter
State, rank39, STATE, 14.185799, 34.947468, 20.761669, 0.000000, MPI_Scatter
State, rank39, STATE, 38.396647, 58.922764, 20.526117, 0.000000, MPI_Gather
State, rank39, STATE, 58.922781, 58.979111, 0.056331, 0.000000, MPI_Finalize
State, rank38, STATE, 0.006102, 0.006103, 0.000001, 0.000000, MPI_Comm_size
State, rank38, STATE, 0.006103, 0.006104, 0.000000, 0.000000, MPI_Comm_rank
State, rank38, STATE, 0.006109, 0.006597, 0.000488, 0.000000, MPI_Bcast
State, rank38, STATE, 0.006643, 13.768330, 13.761687, 0.000000, MPI_Scatter
State, rank38, STATE, 13.768331, 34.538912, 20.770581, 0.000000, MPI_Scatter
State, rank38, STATE, 37.134050, 56.956243, 19.822193, 0.000000, MPI_Gather
